CODIGO_AERONAVE,DATA_VALIDADE,OPERADOR,CNPJ,TIPO_USO,FABRICANTE,MODELO,NUMERO_SERIE,PESO_MAXIMO_DECOLAGEM_KG,RAMO_ATIVIDADE,VENCIDO
PP-023112021,2023-11-22,VALE S.A.,33.592.510/0142-95,Básico,DJI,Mavic,163CGC6R0A6BG9,0.91,Aerofotografia,VENCIDO
PP-018112021,2023-11-18,VALE S.A.,33.592.510/0142-95,Básico,DJI,Mavic,0M6CH3GR0A0DKZ,0.91,Aerofotografia,VENCIDO
PP-017112021,2023-11-18,VALE S.A.,33.592.510/0142-95,Básico,DJI,Mavic,0M6CH3GR0A0W8,0.91,Aerofotografia,VENCIDO
PP-101501712,2023-11-17,VALE S.A.,33.592.510/0021-06,Básico,DJI,Mavic 2 Zoom,OM6CGC3R0A10XN,0.905,Aerofotografia,VENCIDO
PP-101501713,2023-11-17,VALE S.A.,33.592.510/0021-06,Básico,DJI,Mavic 2 Zoom,OM6CH3CR0AW0BSA,0.905,Aerofotografia,VENCIDO
PP-101501711,2023-11-17,VALE S.A.,33.592.510/0021-06,Básico,DJI,Mavic,OM6CH3ER0A0CW6,0.91,Aerofotografia,VENCIDO
PP-202113103,2023-11-16,Salobo Metais,33.931.478/0003-56,Básico,SenseFly,VEICULO AEREO NÃO TRIPULADO EBEE PLUS,IX-12-64467,1.1,Levantamento aéreo em mineração,VENCIDO
PP-152063602,2023-11-12,Vale S.A.,33.592.510/0055-47,Básico,DJI,Matrice 300,1ZNBJ7F00C00W4,9.0,Aerofotografia,VENCIDO
PP-000100803,2023-11-06,VALE S.A.,33.592.510/0021-06,Básico,DJI,Inspire 2,4GCCJ7ER0A0HH7,0.9,SEGURANÇA EMPRESARIAL ,VENCIDO
PP-000100802,2023-11-06,VALE S.A.,33.592.510/0021-06,Básico,DJI,Enterprise,4GCCJ5UR0A0CJH,0.9,Inspeção de área,VENCIDO
PP-170130121,2023-11-05,VALE S.A.,33.592.510/0009-01,Básico,DJI,Matrice 210 RTK V2,17UDGBF01301YZ,10.0,Aeroinspeção,VENCIDO
PP-000033368,2023-11-03,VALE S.A.,33.592.510/0037-65,Básico,DJI,Phantom RTK,0V2DG4M0A30114,2.0,Mineração,VENCIDO
PP-000100027,2023-10-31,VALE S.A.,33.592.510/0021-06,Básico,DJI,Matrice 300 RTK,1ZNBJ6F00C01AF,9.0,Aerofotografia,VENCIDO
PP-001008920,2023-10-21,VALE S.A.,33.592.510/0021-06,Básico,DJI,Inspire 2,4gccj5jr0a0bdl,0.9,Segurança Empresarial privada  ,VENCIDO
PP-429720211,2023-10-15,VALE S.A.,33.592.510/0370-74,Básico,DJI,Mavic 2 Pro,163CHA7R0A4L1C,1.0,Aerofotografia,VENCIDO
PP-302504250,2023-10-15,Mineracoes Brasileiras Reunidas S A,33.417.445/0107-89,Básico,DJI,Phantom 4 Pro,11USJ3XR710346,1.85,MINERAÇÃO,VENCIDO
PP-013102021,2023-10-13,VALE S/A,33.592.510/0170-49,Básico,DJI,Mavic,0M6CHBJR0A2MEL,0.905,Engenharia,VENCIDO
PP-000406406,2023-10-04,ASSOCIACAO INSTITUTO TECNOLOGICO VALE - ITV,12.308.301/0002-47,Básico,PARROT,Bebop2,PI040384AG7B080676,0.7,Pesquisa,VENCIDO
PP-000737737,2023-10-04,ASSOCIACAO INSTITUTO TECNOLOGICO VALE - ITV,12.308.301/0002-47,Básico,Quadh2o,Quadh2o,QuadH2O00023431,1.6,Pesquisa ,VENCIDO
PP-000407407,2023-10-04,ASSOCIACAO INSTITUTO TECNOLOGICO VALE - ITV,12.308.301/0002-47,Básico,PARROT,Bebop2,PI040384AG7B079307,0.7,Pesquisa ,VENCIDO
PP-000408408,2023-10-04,ASSOCIACAO INSTITUTO TECNOLOGICO VALE - ITV,12.308.301/0002-47,Básico,PARROT,Bebop2,PI040384AG7B080645,0.7,Pesquisa ,VENCIDO
PP-000736736,2023-10-04,ASSOCIACAO INSTITUTO TECNOLOGICO VALE - ITV,12.308.301/0002-47,Básico,Quadh2o,Quadh2o,QuadH2O00023432,1.6,Pesquisa ,VENCIDO
PP-850303942,2023-10-04,ASSOCIACAO INSTITUTO TECNOLOGICO VALE - ITV,12.308.301/0002-47,Básico,AscTec,Pelican,17022,1.65,Mineração,VENCIDO
PP-933275001,2023-09-28,VALE S.A.,33.592.510/0370-74,Básico,SenseFly,Ebee Plus,EP-11-29588,1.1,Aeroinspeção,VENCIDO
PP-000405405,2023-09-28,ASSOCIACAO INSTITUTO TECNOLOGICO VALE - ITV,12.308.301/0002-47,Básico,PARROT,Bebop2,PI040384AG7B080379,0.7,Pesquisa ,VENCIDO
